prefecture,municipality,total_area_km2,habitable_area_km2,medical_zone_name
長野県,中川村,77.05,18.4,上伊那
長野県,伊那市,667.93,142.6,上伊那
長野県,南箕輪村,40.99,17.75,上伊那
長野県,宮田村,54.5,14.79,上伊那
長野県,箕輪町,85.91,30.71,上伊那
長野県,辰野町,169.2,26.96,上伊那
長野県,飯島町,86.96,28.7,上伊那
長野県,駒ヶ根市,165.86,44.99,上伊那
長野県,上田市,552.04,155.86,上小
長野県,東御市,112.37,57.0,上小
長野県,長和町,183.86,25.48,上小
長野県,青木村,57.1,10.81,上小
長野県,佐久市,423.51,158.8,佐久
長野県,佐久穂町,188.15,38.79,佐久
長野県,北相木村,56.32,5.15,佐久
長野県,南牧村,133.09,30.04,佐久
長野県,南相木村,66.05,8.11,佐久
長野県,小海町,114.2,21.68,佐久
長野県,小諸市,98.55,64.64,佐久
長野県,川上村,209.61,32.92,佐久
長野県,御代田町,58.79,26.23,佐久
長野県,立科町,66.87,26.74,佐久
長野県,軽井沢町,156.03,40.27,佐久
長野県,中野市,112.18,65.58,北信
長野県,山ノ内町,265.9,30.53,北信
長野県,木島平村,99.32,18.29,北信
長野県,栄村,271.66,34.59,北信
長野県,野沢温泉村,57.96,9.14,北信
長野県,飯山市,202.43,78.04,北信
長野県,大町市,565.15,153.15,大北
長野県,小谷村,267.91,37.52,大北
長野県,松川村,47.07,21.15,大北
長野県,池田町,40.16,17.39,大北
長野県,白馬村,189.36,57.07,大北
長野県,上松町,168.42,16.5,木曽
長野県,南木曽町,215.93,24.0,木曽
長野県,大桑村,234.47,31.0,木曽
長野県,木曽町,476.03,57.37,木曽
長野県,木祖村,140.5,14.71,木曽
長野県,王滝村,310.82,35.3,木曽
長野県,塩尻市,289.98,71.6,松本
長野県,安曇野市,331.78,139.25,松本
長野県,山形村,24.98,12.12,松本
長野県,朝日村,70.62,8.99,松本
長野県,松本市,978.47,233.33,松本
長野県,生坂村,39.05,7.4,松本
長野県,筑北村,99.47,15.51,松本
長野県,麻績村,34.38,10.14,松本
長野県,下諏訪町,66.87,8.23,諏訪
長野県,原村,43.26,23.35,諏訪
長野県,富士見町,144.76,45.13,諏訪
長野県,岡谷市,85.1,21.91,諏訪
長野県,茅野市,266.59,72.13,諏訪
長野県,諏訪市,109.17,29.23,諏訪
長野県,信濃町,149.3,37.02,長野
長野県,千曲市,119.79,49.85,長野
長野県,坂城町,53.64,16.75,長野
長野県,小川村,58.11,11.57,長野
長野県,小布施町,19.12,16.55,長野
長野県,長野市,834.81,311.64,長野
長野県,須坂市,149.67,47.38,長野
長野県,飯綱町,75.0,34.36,長野
長野県,高山村,98.56,14.57,長野
長野県,下條村,38.12,11.59,飯伊
長野県,喬木村,66.61,12.7,飯伊
長野県,売木村,43.43,4.59,飯伊
長野県,大鹿村,248.28,24.91,飯伊
長野県,天龍村,109.44,7.05,飯伊
長野県,平谷村,77.37,2.37,飯伊
長野県,松川町,72.79,25.99,飯伊
長野県,根羽村,89.97,4.22,飯伊
長野県,泰阜村,64.59,6.61,飯伊
長野県,豊丘村,76.79,14.5,飯伊
長野県,阿南町,123.07,13.84,飯伊
長野県,阿智村,214.43,21.49,飯伊
長野県,飯田市,658.66,112.59,飯伊
長野県,高森町,45.36,19.76,飯伊
